draw_id,date,num1,num2,num3,num4,num5
710,2013/4/2,2,15,18,25,26
711,2013/4/9,3,5,10,17,25
712,2013/4/16,3,7,18,27,31
713,2013/4/23,4,13,22,28,31
714,2013/4/30,6,10,20,22,31
715,2013/5/7,2,3,5,9,22
716,2013/5/14,13,18,19,20,24
717,2013/5/21,3,5,14,23,26
718,2013/5/28,2,11,16,19,24
719,2013/6/4,2,9,18,22,27
720,2013/6/11,5,11,17,19,20
721,2013/6/18,3,5,12,15,22
722,2013/6/25,4,6,17,21,30
723,2013/7/2,4,7,9,25,31
724,2013/7/9,7,14,17,22,29
725,2013/7/16,6,11,26,28,30
